nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem;codigo_emprestimo_num
QUBYTE INTERACTIVE;24 meses;B5;20,70% a.a.;R$110.000;22;loan_116271;100.0%;116271
Teixeira Advocacia;24 meses;D3;41,91% a.a.;R$122.000;22;loan_116190;100.0%;116190
SWINF;24 meses;C1;25,64% a.a.;R$28.000;22;loan_116174;100.0%;116174
VAN DER HOEVEN;24 meses;B3;18,72% a.a.;R$326.000;22;loan_116056;100.0%;116056
Tatransportes Pesados Eireli;18 meses;C2;26,82% a.a.;R$168.000;22;loan_115945;100.0%;115945
Premier Gráfica e Comunicação Visual;24 meses;D1;35,28% a.a.;R$22.000;22;loan_115702;100.0%;115702
Kare House Restaurante;24 meses;C2;26,82% a.a.;R$36.000;22;loan_115664;100.0%;115664
GREEN BUDDY;24 meses;D3;41,91% a.a.;R$44.000;22;loan_115158;100.0%;115158
PASTEIS DA NONNA;18 meses;C3;28,32% a.a.;R$28.000;22;loan_114796;100.0%;114796
UP FACILITIES;24 meses;D3;41,91% a.a.;R$66.000;23;loan_107864;100.0%;107864
EQSAN;24 meses;B3;18,72% a.a.;R$150.000;23;loan_105134;100.0%;105134
SABORIZATTI;24 meses;B6;21,70% a.a.;R$56.000;23;loan_102637;100.0%;102637
CENTRO TERAPEUTICO CMA;18 meses;E1;59,73% a.a.;R$44.000;23;loan_116729;100.0%;116729
GEOSOLOS;18 meses;C3;28,32% a.a.;R$60.000;23;loan_116652;100.0%;116652
ABALO COSMÉTICOS;18 meses;D1;35,28% a.a.;R$86.000;23;loan_116620;100.0%;116620
AREAL IMACULADA CONCEICAO;24 meses;C3;28,32% a.a.;R$56.000;23;loan_116502;100.0%;116502
OCTOGRAFF;24 meses;D2;37,99% a.a.;R$22.000;23;loan_116312;100.0%;116312
Prime Arte;24 meses;B4;19,70% a.a.;R$110.000;23;loan_116288;100.0%;116288
CARBONO ZERO COURIER;12 meses;B6;27,87% a.a.;R$106.000;23;loan_116251;100.0%;116251
FIRST SOLUTIONS SISTEMAS DE INFORMACAO;24 meses;B3;18,72% a.a.;R$110.000;24;loan_116180;100.0%;116180
VSM INTERCAMBIO CULTURAL,VIAGENS E TURISMO;24 meses;C2;26,82% a.a.;R$66.000;24;loan_116149;100.0%;116149
HS COMERCIAL;24 meses;D3;41,91% a.a.;R$66.000;24;loan_116007;100.0%;116007
VANINHA DECORACOES;24 meses;D1;35,28% a.a.;R$28.000;24;loan_115885;100.0%;115885
CONSERVAS HENCK;24 meses;D1;35,28% a.a.;R$28.000;24;loan_115869;100.0%;115869
SUPERMERCADO FACILITI;24 meses;C2;26,82% a.a.;R$94.000;24;loan_115736;100.0%;115736
WIRELESS ONE PROVEDOR DE INTERNET LTDA;24 meses;B6;21,70% a.a.;R$44.000;24;loan_115713;100.0%;115713
H Q S SOLUCOES EM TI;24 meses;D2;37,99% a.a.;R$50.000;24;loan_115666;100.0%;115666
AUTO + COMERCIO DE VEICULOS;24 meses;D1;35,28% a.a.;R$56.000;24;loan_115584;100.0%;115584
VIGILANTE SHOP;24 meses;D1;35,28% a.a.;R$98.000;24;loan_115490;100.0%;115490
Inspek Serviços Técnicos;18 meses;B6;21,70% a.a.;R$76.000;25;loan_115421;100.0%;115421
S.B SHOP INFORMATICA E SERVICOS;24 meses;E1;59,73% a.a.;R$28.000;25;loan_115364;100.0%;115364
Cartuchos Cascavel;24 meses;D1;35,28% a.a.;R$66.000;25;loan_115325;100.0%;115325
HAPPY HOUR;24 meses;C1;25,64% a.a.;R$28.000;25;loan_115185;100.0%;115185
Mãozinhas que Fazem - Recreação Infantil;24 meses;B6;26,60% a.a.;R$34.000;25;loan_115141;100.0%;115141
IGD EDUCACIONAL;24 meses;B6;21,70% a.a.;R$110.000;25;loan_113878;100.0%;113878
WPM Informática;24 meses;D3;41,91% a.a.;R$94.000;25;loan_113608;100.0%;113608
Clinica Petitto;24 meses;B6;21,70% a.a.;R$220.000;25;loan_111805;100.0%;111805
TODO BLACK E POWER;24 meses;B6;21,70% a.a.;R$78.000;25;loan_115420;100.0%;115420
RONDO PARTS;18 meses;B6;21,70% a.a.;R$118.000;25;loan_115208;100.0%;115208
SUCESSO UNIFORMES;24 meses;D3;41,91% a.a.;R$82.000;26;loan_115134;100.0%;115134
BAZAR DO UNIFORME E CONFECCOES;24 meses;E1;59,73% a.a.;R$22.000;26;loan_115088;100.0%;115088
VISAO SOLUCOES EMPRESARIAIS;24 meses;C2;26,82% a.a.;R$44.000;26;loan_115059;100.0%;115059
GR DIVISORIAS;24 meses;D1;35,28% a.a.;R$66.000;26;loan_115018;100.0%;115018
CIA DA FESTA LOCACOES;24 meses;C3;28,32% a.a.;R$34.000;26;loan_114996;100.0%;114996
AGAMENON;24 meses;D1;35,28% a.a.;R$28.000;26;loan_114882;100.0%;114882
YARIS DISTRIBUIDORA;24 meses;B6;21,70% a.a.;R$110.000;26;loan_114809;100.0%;114809
BOMBONIERE E MERCEARIA GOMES;24 meses;D1;35,28% a.a.;R$88.000;26;loan_114801;100.0%;114801
